NUM_SOLICITUD,PUNTO_VENTA,SITUACION_SOLICITUD,PUNTO_DECISION,LINEA_CREDITO_FINAL,CUENTA_ASIGNADA,MESES_VENCIDOS,SALDO_CUENTA,ESTRATEGIA_LC,LC_APLICADA,INGRESO_INFERIDO,MODELO_INGRESO_INFERIDO,INGRESO_FINAL,INGRESO_DECLARADO,TIPO_COMPROBANTE_INGRESO,INGRESO_VERIFICADO,MODELO_INGRESO_SWA,MODELO_INGRESO_SWB,MODELO_INGRESO_SWC,MODELO_INGRESO_SWD,MODELO_NO_HIT_INGRESO,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES_ONUS,SUMA_LINEAS_CRED_PERSONALES_ONUS,CAPACIDAD_PAGO_TOTAL,CAPACIDAD_PAGO_NETA,INFERENCIA_INGRESO_NOMINA,INFERENCIA_INGRES_ACTIVOS,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,MONTO_REFERENCIA_MASANTIGUA,TARJETA_MAS_RECIENTE,COEMITIDA_MAS_RECIENTE,PRIVADA_MAS_RECIENTE,NUMERO_TARJETAS_CRED,PEOR_MOP_TARJETAS_VIGENTES,SUMA_SALDOS_TARJETAS,SUMAS_PAGOS_VENCIDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,SUMA_LINEAS_CREDITO_TARJETAS,PEOR_HISTORIA_TARJETAS,CRED_PERSONAL_MAS_RECIENTE,FECHA_CRED_NOMINA_MAS_RECIENTE,FECHA_CRED_CHEQUE_MAS_RECIENTE,NUM_CREDITOS_PERSONALES,PEOR_HISTORIA_CRED_PERSONAL,SUMA_SALDOS_CRED_PERSONAL,SUMAS_PAGOS_VENCIDOS_CRED_PERSONAL,SUMA_PAGO_MIN_CRED_PERSONAL,SUMA_LINEAS_CREDITO_CRED_PERSONAL,CRED_HIPOTECA_MAS_RECIENTE,NUM_CRED_HIPOTECAS,PEOR_HISTORIA_CRED_HIPOTECA,SUMA_SALDOS_REESTRUCTURA,SUMAS_PAGOS_VENCIDOS_REESTRUCTURA,SUMA_PAGO_MIN_REESTRUCTURA,SUMA_LINEAS_CREDITO_REESTRUCTURA,CRED_AUTO_MAS_RECIENTE,EDAD,TIPO_VIVIENDA,ESCOLARIDAD,NIVEL_RIESGO
2.0131E+16,185,75,0,0,,,,8,6,12364,4,12364,18999,11,0,5386,5275,6464,8987,0,2,1,11000,0,3709,0,0,0,0,182,645,0,1305,0,0,2,0,10399,0,0,11000,0,0,1107,0,1,0,3406,0,0,0,0,0,0,0,0,0,0,0,39,3,5,3
2.01311E+16,8188,75,0,0,,,,10,0,0,2,0,13500,15,0,0,0,0,0,3,4,0,0,6928,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,4,3
2.01311E+16,912,53,1,0,,,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,105,4,0,151248,0,2460,269004,0,1310,0,0,1,0,99279,0,5191,0,0,0,0,0,0,0,0,0,31,3,5,0
2.01311E+16,7434,75,0,3500,9.98345E+14,2,1400,9,6,3481,1,3481,3500,1,4500,6032,5980,7122,10417,0,3,1,0,1970,1044,1034,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,4,3
2.01312E+16,207,75,0,8300,9.98345E+14,1,5561,8,6,8340,4,8340,9890,11,0,6383,4769,6913,6184,0,2,1,7600,0,2502,2167,0,0,0,176,676,0,1209,0,0,1,0,7185,0,0,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4,5,3
2.01312E+16,662,53,1,0,,,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,4,0
2.01312E+16,662,53,1,0,,,,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,5,0
2.01401E+16,256,75,0,0,,,,10,6,6695,6,6695,20000,11,0,5316,4176,6293,7941,0,4,0,0,0,3347,3347,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,4,1
2.01401E+16,4603,75,0,0,,,,8,6,8553,4,8553,8500,11,0,7746,6637,8658,6707,0,4,1,10000,0,2566,0,0,0,0,137,0,0,802,0,0,1,8,14113,9338,14113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,4,3
2.01402E+16,4434,75,1,0,,,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,4,0
2.01403E+16,4766,75,0,0,,,,0,6,15660,1,15660,80000,15,0,6848,10774,6597,8524,0,5,1,0,0,6264,6264,0,0,0,257,710,0,1307,0,0,2,0,50546,0,0,77004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4,3,2
2.01403E+16,4173,75,0,0,,,,0,0,0,2,0,55000,15,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,181,737,0,908,0,0,2,0,6009,0,914,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,5,3
2.01403E+16,819,75,0,0,,,,0,6,1884,1,1884,25000,15,0,4639,3041,4826,3907,0,5,1,0,0,565,565,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,3,3
2.01404E+16,4173,75,1,0,,,,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,0,1,0,45114,0,2270,49000,0,0,608,0,1,0,10000,0,221,0,0,0,0,0,0,0,0,0,52,1,3,0
2.01405E+16,208,75,0,28000,9.98345E+14,3,10080,0,6,20692,4,20692,32500,15,0,7996,6719,10624,9308,0,4,1,15000,0,6207,6207,0,0,0,188,0,0,1101,0,0,1,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,3,3
2.01405E+16,336,75,0,5000,9.98345E+14,1,4300,0,6,2805,1,2805,9500,3,9500,5910,6810,7003,9951,0,5,1,0,0,1122,1122,0,0,1,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,3,2
2.01406E+16,506,75,0,0,,,,0,0,0,2,0,12000,15,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,5,3
2.01406E+16,6579,75,0,6700,9.98345E+14,3,4221,0,0,0,2,5000,5000,15,0,0,0,0,0,2,4,1,0,0,1500,1500,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,4,3
2.01406E+16,506,75,0,0,,,,0,0,0,2,0,40000,15,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,5,3
2.01406E+16,6579,75,0,0,,,,0,0,0,2,0,6000,15,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,173,0,0,1201,0,0,1,19,44705,35101,44705,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,4,3
2.01406E+16,6579,75,0,0,,,,0,0,0,2,0,10000,15,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,3,3
2.01406E+16,6579,75,0,0,,,,0,0,0,2,0,6000,15,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,4,3
2.01406E+16,648,75,0,9200,9.98345E+14,0,7728,0,6,6823,6,6823,7000,15,0,6118,5371,6414,6385,0,4,0,0,0,2047,2047,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,5,3
2.01406E+16,148,75,0,0,,,,0,6,4310,1,4310,28000,15,0,6825,7906,7158,10593,0,5,1,0,0,1293,1293,0,0,0,237,0,0,1402,0,0,1,0,3773,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,3,3
2.01406E+16,4454,75,0,48000,9.98345E+14,0,16800,0,6,26224,4,26224,45000,11,0,7002,6005,8634,10676,0,3,1,0,41661,10489,9655,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,5,2
2.01406E+16,4226,75,0,0,,,,0,0,0,2,0,52000,11,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,171,698,0,9807,0,0,1,0,11336,0,20,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,5,3
2.01406E+16,4581,75,0,0,,,,0,0,0,2,0,7000,1,3500,0,0,0,0,3,5,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,4,3
2.01406E+16,4454,75,0,0,,,,0,0,0,2,0,25000,11,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,2,3
2.01406E+16,42,75,1,0,,,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,3,0
2.01406E+16,4197,75,0,5000,9.98345E+14,2,2200,0,6,2342,1,2342,6000,15,0,5392,5291,5597,5168,0,5,1,0,0,936,936,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,1,0,18050,0,0,0,0,0,0,0,0,0,0,0,36,4,3,2
2.01406E+16,4267,75,0,66000,9.98345E+14,2,35640,0,6,36862,3,36862,60000,11,0,8444,12352,6108,6328,0,5,1,0,0,14744,14744,0,0,0,218,702,0,1311,0,0,2,0,18896,0,0,23900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,3,2
2.01406E+16,4779,75,0,0,,,,0,6,15955,4,15955,25000,15,0,6495,6135,8165,9696,0,4,0,0,12029,4786,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4,3,3
2.01406E+16,478,75,0,227000,9.98345E+14,2,161170,0,6,116123,4,116123,200000,11,0,26604,15813,18349,6731,0,2,1,214700,15106,46449,45423,0,0,0,192,750,0,1306,0,0,2,0,55,0,0,214700,0,1402,0,0,2,0,29078,0,0,0,0,0,0,0,0,0,0,0,55,2,5,2
2.01406E+16,383,75,0,0,,,,0,0,0,2,0,8000,15,0,0,0,0,0,3,4,1,0,422,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,5,3
2.01406E+16,309,75,0,0,,,,0,0,0,2,0,10000,15,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,4,3
2.01406E+16,305,75,0,0,,,,0,2,6250,4,6250,6000,11,0,6110,7512,7213,10445,0,2,1,5004,39879,2500,0,0,0,0,193,677,0,1312,0,0,1,0,4366,0,0,5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,5,2
2.01406E+16,4484,75,0,16300,9.98345E+14,0,7987,0,6,9080,1,9080,7800,15,0,5392,4547,5597,5168,0,5,0,0,0,3632,3632,0,16344,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,3,2
2.01406E+16,4430,75,1,0,,,,0,0,0,0,0,0,10,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,3,0
2.01406E+16,872,75,0,7100,9.98345E+14,3,7739,0,6,5885,3,5885,7000,15,0,5298,4485,5490,5203,0,5,0,0,0,1765,1765,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3,5,3
2.01406E+16,435,75,0,19000,9.98345E+14,2,20330,0,0,0,2,15000,30000,1,15000,0,0,0,0,1,4,1,0,0,4500,4228,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,1,0,15210,0,0,0,0,0,0,0,0,0,0,0,27,1,5,3
2.01406E+16,109,75,0,0,,,,0,0,0,2,0,6000,15,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,4,3
2.01406E+16,301,75,0,13800,9.98345E+14,3,11454,0,6,8829,4,8829,12000,15,0,5318,5176,6394,7870,0,4,0,0,19696,3531,2753,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,5,2
